RU1	%
RU1533	ниже
RU1534	линии
RU1535	горизонта,
RU1536	этому
RU1537	способствует
RU1538	как
RU1539	бы
RU1540	уплощенная
RU1541	форма
RU1542	туловища.
RU1543	При
RU1544	этом
RU1545	у
RU1546	неё
RU1547	почему-то
RU1548	квадратная
RU1549	голова.
RU1550	Оказывается,
RU1551	и
RU1552	каменистую
RU1553	почву
RU1554	рыть
RU1555	не
RU1556	бесполезно.
RU1557	Летом
RU1558	на
RU1559	тибетское
RU1560	нагорье
RU1561	попадаеттёплый
RU1562	воздух
RU1563	с
RU1564	юга
RU1565	и
RU1566	прогревает
RU1567	его.
RU1568	Дожди
RU1569	так
RU1570	и
RU1571	не
RU1572	приходят.
RU1573	Наталкиваясь
RU1574	на
RU1575	Гималаи,
RU1576	влажный
RU1577	воздух
RU1578	поднимается
RU1579	вверх
RU1580	по
RU1581	склонам
RU1582	и
RU1583	превращается
RU1584	в
RU1585	огромные
RU1586	дождевые
RU1587	облака.
RU1588	Эти
RU1589	облака
RU1590	изливают
RU1591	свою
RU1592	влагу
RU1593	на
RU1594	южной
RU1595	стороне
RU1596	хребта
RU1597	Гималаев,
RU1598	те
RU1599	же
RU1600	вершины,
RU1601	которые
RU1602	лишают
RU1603	Тибет
RU1604	влаги,
RU1605	отвечают
RU1606	за
RU1607	муссонные
RU1608	дожди,
RU1609	выпадающие
RU1610	на
RU1611	юге,
RU1612	и
RU1613	за
RU1614	период
RU1615	цветения
RU1616	в
RU1617	Индии.
RU1618	Здесь,
RU1619	к
RU1620	югу
RU1621	от
RU1622	Гималаев,
RU1623	под
RU1624	жарким
RU1625	тропическим
RU1626	солнцем
RU1627	и
RU1628	обильными
RU1629	дождями
RU1630	трава
RU1631	достигает
RU1632	гигантских
RU1633	размеров.
RU1634	слоновая
RU1635	трава
RU1636	-
RU1637	один
RU1638	из
RU1639	самых
RU1640	высоких
RU1641	злаков
RU1642	в
RU1643	мире.
RU1644	Даже
RU1645	слон
RU1646	может
RU1647	укрыться
RU1648	в
RU1649	зарослях
RU1650	слоновой
RU1651	травы.
RU1652	И,
RU1653	конечно,
RU1654	такая
RU1655	трава,
RU1656	где
RU1657	может
RU1658	спрятаться
RU1659	слон,
RU1660	скрывает
RU1661	множество
RU1662	сюрпризов.
RU1663	Это
RU1664	-
RU1665	самец
RU1666	карликовой
RU1667	дрофы,
RU1668	зовут
RU1669	её
RU1670	ещё
RU1671	флорикан.
RU1672	Когда
RU1673	наступает
RU1674	брачный
RU1675	период,
RU1676	ему
RU1677	приходится
RU1678	так
RU1679	высоко
RU1680	взлетать,
RU1681	чтобы
RU1682	самка
RU1683	заметила.
RU1684	На
RU1685	травянистых
RU1686	равнинах
RU1687	тропической
RU1688	Индии
RU1689	обитают
RU1690	и
RU1691	самые
RU1692	крупные
RU1693	травоядные
